id:1,name:emil,email:hej@hej,phone:hej12345,password:hej123
id:2,name:erik,email:hej1@hej1,phone:hej12345,password:hej123
id:3,name:erik,email:hej1@hej1,phone:hej12345,password:hej123
id:4,name:erik,email:hej1@hej1,phone:hej12345,password:hej123
id:5,name:emil,email:hej@hej,phone:hej123456,password:03423523
id:6,name:peter,email:emasd,phone:32423423,password:hejsda3as
id:12,name:asda,email:sf43dfs,phone:34545645,password:hejhejasd123
id:13,name:tassane,email:hej123@,phone:046456,password:hejhej12345
id:14,name:emil,email:hejhej,phone:067575,password:hej123
id:21,name:nicklas,email:adsasg,phone:87574543,password:haha123
